629	1
140.46914	-20.794734	-18.75331
140.47952	-20.724462	-18.75331
140.48987	-20.654184	-18.75331
140.50019	-20.5839	-18.75331
140.51047	-20.513612	-18.75331
140.52071	-20.443319	-18.75331
140.53092	-20.37302	-18.75331
140.5411	-20.302716	-18.75331
140.55123	-20.232408	-18.75331
140.56134	-20.162094	-18.75331
140.57141	-20.091775	-18.75331
140.58144	-20.021451	-18.75331
140.59144	-19.951122	-18.75331
140.6014	-19.880788	-18.75331
140.61133	-19.81045	-18.75331
140.62122	-19.740106	-18.75331
140.63108	-19.669757	-18.75331
140.6409	-19.599403	-18.75331
140.65069	-19.529045	-18.75331
140.66044	-19.458681	-18.75331
140.67016	-19.388313	-18.75331
140.67984	-19.31794	-18.75331
140.68949	-19.247562	-18.75331
140.6991	-19.177179	-18.75331
140.70867	-19.106791	-18.75331
140.71821	-19.036399	-18.75331
140.72772	-18.966002	-18.75331
140.73719	-18.8956	-18.75331
140.74662	-18.825193	-18.75331
140.75602	-18.754782	-18.75331
140.76539	-18.684366	-18.75331
140.77472	-18.613945	-18.75331
140.78401	-18.54352	-18.75331
140.79327	-18.47309	-18.75331
140.80249	-18.402655	-18.75331
140.81168	-18.332216	-18.75331
140.82083	-18.261772	-18.75331
140.82995	-18.191324	-18.75331
140.83904	-18.120871	-18.75331
140.84808	-18.050413	-18.75331
140.8571	-17.979951	-18.75331
140.86607	-17.909485	-18.75331
140.87501	-17.839014	-18.75331
140.88392	-17.768538	-18.75331
140.89279	-17.698058	-18.75331
140.90163	-17.627574	-18.75331
140.91043	-17.557085	-18.75331
140.91919	-17.486592	-18.75331
140.92792	-17.416094	-18.75331
140.93662	-17.345593	-18.75331
140.94528	-17.275086	-18.75331
140.9539	-17.204576	-18.75331
140.96249	-17.134061	-18.75331
140.97105	-17.063542	-18.75331
140.97956	-16.993018	-18.75331
140.98805	-16.922491	-18.75331
140.9965	-16.851959	-18.75331
141.00491	-16.781423	-18.75331
141.01328	-16.710882	-18.75331
141.02163	-16.640338	-18.75331
141.02993	-16.569789	-18.75331
141.03821	-16.499237	-18.75331
141.04644	-16.42868	-18.75331
141.05464	-16.358119	-18.75331
141.06281	-16.287553	-18.75331
141.07094	-16.216984	-18.75331
141.07903	-16.146411	-18.75331
141.08709	-16.075834	-18.75331
141.09512	-16.005252	-18.75331
141.10311	-15.934667	-18.75331
141.11106	-15.864078	-18.75331
141.11898	-15.793484	-18.75331
141.12686	-15.722887	-18.75331
141.13471	-15.652286	-18.75331
141.14252	-15.581681	-18.75331
141.1503	-15.511072	-18.75331
141.15804	-15.440459	-18.75331
141.16575	-15.369842	-18.75331
141.17342	-15.299222	-18.75331
141.18105	-15.228597	-18.75331
