629	1
140.396723	-21.278165	-18.253310
140.407349	-21.207928	-18.253310
140.417941	-21.137686	-18.253310
140.428498	-21.067439	-18.253310
140.439019	-20.997187	-18.253310
140.449506	-20.926929	-18.253310
140.459957	-20.856666	-18.253310
140.470373	-20.786398	-18.253310
140.480754	-20.716124	-18.253310
140.491100	-20.645846	-18.253310
140.501410	-20.575562	-18.253310
140.511686	-20.505273	-18.253310
140.521926	-20.434979	-18.253310
140.532131	-20.364680	-18.253310
140.542301	-20.294376	-18.253310
140.552436	-20.224066	-18.253310
140.562535	-20.153752	-18.253310
140.572600	-20.083433	-18.253310
140.582629	-20.013108	-18.253310
140.592623	-19.942779	-18.253310
140.602582	-19.872444	-18.253310
140.612505	-19.802105	-18.253310
140.622394	-19.731760	-18.253310
140.632247	-19.661411	-18.253310
140.642065	-19.591057	-18.253310
140.651848	-19.520698	-18.253310
140.661596	-19.450334	-18.253310
140.671308	-19.379965	-18.253310
140.680986	-19.309591	-18.253310
140.690628	-19.239212	-18.253310
140.700235	-19.168829	-18.253310
140.709806	-19.098441	-18.253310
140.719343	-19.028048	-18.253310
140.728844	-18.957650	-18.253310
140.738310	-18.887248	-18.253310
140.747741	-18.816840	-18.253310
140.757136	-18.746428	-18.253310
140.766497	-18.676012	-18.253310
140.775822	-18.605591	-18.253310
140.785112	-18.535165	-18.253310
140.794366	-18.464734	-18.253310
140.803586	-18.394299	-18.253310
140.812770	-18.323859	-18.253310
140.821919	-18.253415	-18.253310
140.831033	-18.182966	-18.253310
140.840111	-18.112512	-18.253310
140.849154	-18.042054	-18.253310
140.858162	-17.971592	-18.253310
140.867135	-17.901125	-18.253310
140.876073	-17.830653	-18.253310
140.884975	-17.760177	-18.253310
140.893842	-17.689697	-18.253310
140.902673	-17.619212	-18.253310
140.911470	-17.548722	-18.253310
140.920231	-17.478229	-18.253310
140.928957	-17.407731	-18.253310
140.937648	-17.337228	-18.253310
140.946303	-17.266722	-18.253310
140.954923	-17.196211	-18.253310
140.963508	-17.125695	-18.253310
140.972057	-17.055176	-18.253310
140.980572	-16.984652	-18.253310
140.989051	-16.914123	-18.253310
140.997494	-16.843591	-18.253310
141.005903	-16.773054	-18.253310
141.014276	-16.702514	-18.253310
141.022614	-16.631969	-18.253310
141.030916	-16.561420	-18.253310
141.039184	-16.490866	-18.253310
141.047416	-16.420309	-18.253310
141.055612	-16.349747	-18.253310
141.063774	-16.279182	-18.253310
141.071900	-16.208612	-18.253310
141.079991	-16.138038	-18.253310
141.088046	-16.067460	-18.253310
141.096066	-15.996879	-18.253310
141.104051	-15.926293	-18.253310
141.112000	-15.855703	-18.253310
141.119915	-15.785109	-18.253310
141.127794	-15.714512	-18.253310
141.135637	-15.643910	-18.253310
141.143445	-15.573304	-18.253310
141.151218	-15.502695	-18.253310
141.158956	-15.432081	-18.253310
141.166658	-15.361464	-18.253310
141.174325	-15.290843	-18.253310
141.181957	-15.220218	-18.253310
141.189553	-15.149590	-18.253310
141.197114	-15.078957	-18.253310
141.204640	-15.008321	-18.253310
141.212130	-14.937681	-18.253310
141.219585	-14.867037	-18.253310
141.227005	-14.796390	-18.253310
141.234389	-14.725739	-18.253310
141.241738	-14.655084	-18.253310
141.249051	-14.584425	-18.253310
141.256330	-14.513763	-18.253310
141.263573	-14.443097	-18.253310
141.270780	-14.372428	-18.253310
141.277952	-14.301755	-18.253310
141.285089	-14.231078	-18.253310
141.292191	-14.160398	-18.253310
141.299257	-14.089714	-18.253310
141.306287	-14.019027	-18.253310
141.313283	-13.948336	-18.253310
141.320243	-13.877642	-18.253310
141.327168	-13.806944	-18.253310
141.334057	-13.736243	-18.253310
141.340911	-13.665539	-18.253310
141.347729	-13.594831	-18.253310
141.354512	-13.524119	-18.253310
141.361260	-13.453405	-18.253310
141.367973	-13.382686	-18.253310
141.374650	-13.311965	-18.253310
141.381291	-13.241240	-18.253310
141.387898	-13.170512	-18.253310
141.394469	-13.099780	-18.253310
141.401004	-13.029046	-18.253310
141.407504	-12.958308	-18.253310
141.413969	-12.887566	-18.253310
141.420398	-12.816822	-18.253310
141.426792	-12.746074	-18.253310
141.433151	-12.675323	-18.253310
141.439474	-12.604569	-18.253310
141.445762	-12.533812	-18.253310
141.452014	-12.463052	-18.253310
141.458231	-12.392289	-18.253310
141.464413	-12.321522	-18.253310
141.470559	-12.250752	-18.253310
141.476670	-12.179980	-18.253310
141.482745	-12.109204	-18.253310
141.488785	-12.038425	-18.253310
141.494790	-11.967643	-18.253310
141.500759	-11.896859	-18.253310
141.506693	-11.826071	-18.253310
141.512591	-11.755280	-18.253310
141.518454	-11.684486	-18.253310
141.524281	-11.613690	-18.253310
141.530073	-11.542890	-18.253310
141.535830	-11.472088	-18.253310
141.541551	-11.401283	-18.253310
141.547237	-11.330475	-18.253310
141.552888	-11.259664	-18.253310
141.558503	-11.188850	-18.253310
141.564082	-11.118034	-18.253310
141.569626	-11.047214	-18.253310
141.575135	-10.976392	-18.253310
141.580608	-10.905567	-18.253310
141.586046	-10.834740	-18.253310
141.591448	-10.763909	-18.253310
141.596815	-10.693076	-18.253310
141.602147	-10.622241	-18.253310
141.607443	-10.551402	-18.253310
141.612704	-10.480561	-18.253310
141.617929	-10.409718	-18.253310
141.623119	-10.338872	-18.253310
141.628273	-10.268023	-18.253310
141.633392	-10.197172	-18.253310
141.638475	-10.126318	-18.253310
141.643523	-10.055461	-18.253310
141.648536	-9.984602	-18.253310
141.653513	-9.913741	-18.253310
141.658455	-9.842877	-18.253310
141.663361	-9.772011	-18.253310
141.668232	-9.701142	-18.253310
141.673067	-9.630271	-18.253310
141.677867	-9.559397	-18.253310
141.682631	-9.488521	-18.253310
141.687360	-9.417642	-18.253310
141.692054	-9.346762	-18.253310
141.696712	-9.275878	-18.253310
141.701334	-9.204993	-18.253310
141.705921	-9.134105	-18.253310
141.710473	-9.063215	-18.253310
141.714989	-8.992323	-18.253310
141.719470	-8.921428	-18.253310
141.723915	-8.850532	-18.253310
141.728325	-8.779633	-18.253310
141.732699	-8.708731	-18.253310
141.737038	-8.637828	-18.253310
141.741341	-8.566922	-18.253310
141.745609	-8.496015	-18.253310
141.749842	-8.425105	-18.253310
141.754039	-8.354193	-18.253310
141.758200	-8.283279	-18.253310
141.762326	-8.212363	-18.253310
141.766417	-8.141445	-18.253310
141.770472	-8.070525	-18.253310
141.774491	-7.999602	-18.253310
141.778475	-7.928678	-18.253310
141.782424	-7.857752	-18.253310
141.786337	-7.786824	-18.253310
141.790215	-7.715894	-18.253310
141.794057	-7.644962	-18.253310
141.797864	-7.574028	-18.253310
141.801635	-7.503092	-18.253310
141.805370	-7.432154	-18.253310
141.809071	-7.361215	-18.253310
141.812735	-7.290273	-18.253310
141.816365	-7.219330	-18.253310
141.819958	-7.148385	-18.253310
141.823517	-7.077438	-18.253310
141.827039	-7.006490	-18.253310
141.830527	-6.935539	-18.253310
141.833978	-6.864587	-18.253310
141.837395	-6.793633	-18.253310
141.840776	-6.722678	-18.253310
141.844121	-6.651721	-18.253310
141.847431	-6.580762	-18.253310
141.850705	-6.509801	-18.253310
141.853944	-6.438839	-18.253310
141.857147	-6.367875	-18.253310
141.860315	-6.296910	-18.253310
141.863447	-6.225943	-18.253310
141.866544	-6.154975	-18.253310
141.869605	-6.084005	-18.253310
141.872631	-6.013033	-18.253310
141.875621	-5.942060	-18.253310
141.878576	-5.871085	-18.253310
141.881495	-5.800109	-18.253310
141.884379	-5.729132	-18.253310
141.887227	-5.658153	-18.253310
141.890040	-5.587173	-18.253310
141.892817	-5.516191	-18.253310
141.895559	-5.445208	-18.253310
141.898265	-5.374224	-18.253310
141.900936	-5.303238	-18.253310
141.903571	-5.232251	-18.253310
141.906171	-5.161262	-18.253310
141.908735	-5.090273	-18.253310
141.911264	-5.019282	-18.253310
141.913757	-4.948289	-18.253310
141.916215	-4.877296	-18.253310
141.918637	-4.806301	-18.253310
141.921023	-4.735305	-18.253310
141.923375	-4.664308	-18.253310
141.925690	-4.593310	-18.253310
141.927970	-4.522310	-18.253310
141.930215	-4.451310	-18.253310
141.932424	-4.380308	-18.253310
141.934597	-4.309305	-18.253310
141.936735	-4.238302	-18.253310
141.938838	-4.167297	-18.253310
141.940905	-4.096291	-18.253310
141.942936	-4.025284	-18.253310
141.944932	-3.954276	-18.253310
141.946892	-3.883267	-18.253310
141.948817	-3.812257	-18.253310
141.950707	-3.741246	-18.253310
141.952560	-3.670234	-18.253310
