Span,Alpha1,V1,Pitch1
96.72131148,0.262914455,17.505235,10.0806905
89.3442623,-0.94287555,21.35102,1.56104
81.96721311,-1.8389045,21.346255,1.06840915
74.59016393,-0.3184918,21.287595,1.0672505
67.21311475,-0.2081537,21.293155,0.84677075
59.83606557,-0.024188,21.374335,0.70410655
52.45901639,0.99027705,21.357195,0.52229305
47.54098361,0.57171035,21.291635,0.6242586
44.26229508,0.6019918,21.31321,0.4232012
40.98360656,-0.279094661,21.365665,0.67332165
37.70491803,-0.2608282,21.399035,0.62493755
34.42622951,0.7118077,21.45975,0.50124715
31.14754098,0.330563557,21.44208,0.5323439
27.86885246,0.0112755,21.47211,0.6014271
24.59016393,0.19443905,21.472015,0.55898105
21.31147541,-1.18259115,21.5041,0.219903595
18.03278689,-0.147598,21.50328,0.51240495
14.75409836,-1.7959985,21.561395,0.37934935
13.1147541,-0.90107215,21.640965,0.768906
11.47540984,-0.66903975,21.556715,0.595027
8.196721311,-1.3392015,21.518805,0.72284485
6.557377049,-0.5318739,21.503545,0.7425764
5.737704918,-1.7557175,21.344135,0.6429996
4.918032787,-2.47868455,21.309315,0.46281635
4.098360656,-1.23322991,21.32171,0.34444225
3.278688525,-2.4792195,21.15218,0.10412198
2.459016393,-1.0880882,20.921045,-1.0323214
