Span,Alpha1,V1,Pitch1
96.72131148,2.670089,17.72733,-11.27341
89.3442623,1.909364,21.23454,5.878379
81.96721311,0.57919265,21.241955,5.917477
74.59016393,2.6291555,21.23595,6.081383
67.21311475,2.3272135,21.18557,6.010162
59.83606557,0.8443878,21.19091,6.0334565
52.45901639,-0.1324078,21.159275,5.962091
47.54098361,-0.24874855,21.17452,6.2144485
44.26229508,-0.7972172,21.182235,6.1576275
40.98360656,-0.93556375,21.153995,6.133785
37.70491803,-0.9985292,21.231985,6.0067865
34.42622951,-2.6284965,21.21086,6.096112
31.14754098,-2.1544915,21.258155,6.0721405
27.86885246,-1.802245,21.25588,6.184411
24.59016393,-2.1244435,21.31237,6.184589
21.31147541,-2.112391,21.281205,6.1907345
18.03278689,-2.888367,21.342215,6.07578
14.75409836,-2.073288,21.338265,6.1562655
13.1147541,-4.335984,21.290195,6.168024
11.47540984,-3.052438,21.264305,6.2206895
8.196721311,-4.311268,21.233235,6.171944
6.557377049,-1.5690315,21.221305,6.248779
5.737704918,-2.603361,21.152055,6.27056
4.918032787,-4.586133,20.99021,6.268654
4.098360656,-2.3371265,20.753185,6.3527465
3.278688525,-1.4407547,20.777095,6.506734
2.459016393,-1.9676602,20.59536,6.6071795
