Span,Beta2,W2,Pitch2,Loss,eta N1,Cske
2.459016393,44.7603781,26.49321735,-2.01640384,0.211653446,0.811239232,0.262456212
5.737704918,39.56615893,28.14186848,-0.047519854,0.151069741,0.866335247,0.14907284
9.016393443,37.69624876,29.10803442,-1.017701232,0.108948755,0.904411204,0.123808519
12.29508197,37.97351997,30.09349978,-0.895689675,0.045256036,0.961765856,0.121723566
15.57377049,36.67281707,29.70567033,-0.923135098,0.033910359,0.972531308,0.113095552
18.85245902,34.92418974,28.77074467,-1.024921534,0.034129078,0.973056799,0.10746234
22.13114754,33.47764706,28.23755389,-1.155965278,0.033682145,0.974521055,0.102329346
25.40983607,31.18278543,27.4435517,-1.308131445,0.038059702,0.972789351,0.092323256
28.68852459,29.55173736,26.96993783,-1.53960603,0.037848186,0.973965399,0.088988355
31.96721311,27.23059913,26.31239373,-1.506285975,0.038806775,0.974756593,0.080503423
35.24590164,25.25848723,25.87926004,-1.725371465,0.039674386,0.975500448,0.076079223
38.52459016,23.01295782,25.34486303,-1.649207445,0.038153215,0.977503788,0.069287728
41.80327869,21.24930541,25.03092687,-1.884481621,0.036348232,0.979652364,0.066876644
45.08196721,18.72647792,24.56880551,-1.813210199,0.03538942,0.980930953,0.059957856
48.36065574,16.31313107,24.20058929,-1.866823588,0.036013098,0.977450917,0.056151808
51.63934426,13.65063714,23.76685208,-1.870393052,0.03701734,0.97347634,0.051219701
54.91803279,11.55916443,23.5842206,-2.059540336,0.036664724,0.974220381,0.048588715
58.19672131,8.767478668,23.29744247,-1.995698592,0.039928606,0.971764517,0.042140861
61.47540984,6.54569199,23.34792659,-1.886395528,0.039159741,0.973704445,0.03520446
64.75409836,4.060039514,23.29993057,-1.81041254,0.033370636,0.979407834,0.030205509
68.03278689,2.136734127,23.51028882,-1.637363004,0.024769332,0.987373529,0.023599058
71.31147541,-0.666631657,23.64380793,-1.76703164,0.024633826,0.988618114,0.019188196
74.59016393,-4.532267143,23.83674735,-2.011534864,0.046194153,0.972532431,0.015592198
77.86885246,-7.217485935,23.66059255,-2.642905876,0.051628388,0.968752782,0.027392898
81.14754098,-8.864329961,22.90201184,-2.492672788,0.069292371,0.954246286,0.045894539
84.42622951,-16.41913473,21.55826025,-1.767397504,0.168975312,0.86902959,0.069591494
87.70491803,-29.2442102,21.72448153,-0.856889919,0.286397548,0.770254418,0.064602608
90.98360656,-47.34520648,25.30180299,-4.28225788,0.437999122,0.644695238,0.066884347
94.26229508,-45.86041147,25.79018606,-3.104270136,0.440065982,0.641889511,0.081864298
97.54098361,-48.1040221,25.38142657,0.607466508,0.454685264,0.628632073,0.118965306
