Span,Beta3,W3,Alpha3,V3,Pitch3,Loss,StageTT,StageTS,RotorTT,RotorTS,Cske,beta_dev,Hske,Vdotalpha,Wdotbeta
2.5,1.2523,52.736,0.7397,23.0192,-0.0575,0.0246,0,0,0.7823,0.7115,0.1145,0.1126,1555929.1867,0.9143,1.023
5.8333,1.2602,54.6656,0.7892,24.0401,-0.1002,-0.0276,0,0,0.787,0.7096,0.1567,0.1174,85547.1425,0.9422,1.0506
9.1667,1.2618,55.4125,0.7924,24.3835,-0.1234,0.0056,0,0,0.7875,0.708,0.1574,0.1161,1865974.6839,0.9542,1.0561
12.5,1.2808,55.8343,0.8257,24.028,-0.1457,0.0262,0,0,0.7829,0.7063,0.1752,0.1322,4050958.984,0.9301,1.0531
15.8333,1.3123,56.3904,0.8916,23.5174,-0.1687,0.0235,0,0,0.777,0.7044,0.221,0.1609,6500650.7105,0.8876,1.0505
19.1667,1.3458,57.1422,0.9705,23.3063,-0.1961,0.0153,0,0,0.7718,0.7013,0.286,0.1917,7956704.0453,0.8475,1.0503
22.5,1.3583,57.4655,0.9978,23.4693,-0.1967,0.0319,0,0,0.7645,0.6943,0.3195,0.2015,1595538.8971,0.8403,1.0459
25.8333,1.3086,56.6512,0.8459,23.9849,-0.1008,0.0993,0,0,0.7555,0.6842,0.2073,0.1492,11606119.7953,0.9193,1.0328
29.1667,1.1982,55.7819,0.5438,26.2281,0.0102,0.1551,0,0,0.7634,0.678,0.0249,0.0364,1973258.4757,1.0696,1.02
32.5,1.0759,56.1214,0.3398,30.1322,0.0704,0.151,0,0,0.7976,0.6795,0.0012,0.0884,78479.0783,1.2174,1.0154
35.8333,1.0127,56.4669,0.2576,32.2496,0.0886,0.1328,0,0,0.8279,0.6861,0.0377,0.1539,516646.414,1.2839,1.0063
39.1667,1.0336,55.6312,0.2549,30.4975,0.0784,0.135,0,0,0.828,0.6988,0.0389,0.1354,975576.1161,1.2149,0.9871
42.5,1.1009,54.8536,0.2949,27.0535,0.0421,0.1463,0,0,0.8078,0.7074,0.0199,0.0704,746737.0503,1.0879,0.9732
45.8333,1.1412,56.048,0.3768,25.8015,0.0213,0.1114,0,0,0.8017,0.7106,0.0014,0.0323,4683.438,1.0506,0.9896
49.1667,1.1325,55.9994,0.3349,26.1366,0.0162,0.1173,0,0,0.806,0.7119,0.0091,0.0432,6798.1476,1.0601,0.9818
52.5,1.134,56.3595,0.328,26.2522,0.0082,0.1146,0,0,0.8074,0.7123,0.0111,0.0437,70537.7653,1.0649,0.9817
55.8333,1.1368,56.9323,0.3356,26.2605,0.0003,0.109,0,0,0.8074,0.7122,0.0094,0.0429,51318.0825,1.0675,0.9854
59.1667,1.1376,57.5856,0.3428,26.4068,-0.0069,0.1018,0,0,0.8079,0.7117,0.0078,0.0441,44127.5227,1.0756,0.9904
62.5,1.1301,57.4286,0.2987,26.6988,-0.0118,0.1183,0,0,0.809,0.7106,0.0206,0.0536,11960.4166,1.0823,0.9811
65.8333,1.1097,56.8942,0.2351,27.421,-0.0175,0.1471,0,0,0.8134,0.7093,0.0519,0.076,52718.6225,1.1002,0.9647
69.1667,1.1008,57.3625,0.2286,27.8217,-0.0246,0.1527,0,0,0.8144,0.7074,0.0568,0.0868,494360.1188,1.1167,0.966
72.5,1.1163,58.2079,0.2596,27.3961,-0.0269,0.1475,0,0,0.8082,0.7055,0.0379,0.0731,896375.574,1.1083,0.9756
75.8333,1.1566,59.0567,0.3321,25.8853,-0.018,0.1379,0,0,0.7947,0.7046,0.0094,0.0346,387693.5552,1.0595,0.9862
79.1667,1.2063,59.6231,0.4276,23.944,0.0013,0.1256,0,0,0.7805,0.7048,0.0002,0.0133,9563.0237,0.9858,0.9905
82.5,1.2497,58.1544,0.383,21.4866,0.0201,0.1726,0,0,0.7625,0.7031,0.0006,0.0549,22932.0554,0.8847,0.9593
85.8333,1.2748,54.8287,-0.0337,22.3357,0.029,0.2693,0,0,0.7607,0.6972,0.204,0.0783,6017765.4659,0.8294,0.8981
89.1667,1.2312,52.4968,-0.1174,26.2677,0.0076,0.335,0,0,0.7794,0.6903,0.3881,0.033,9881964.0661,0.9367,0.8574
92.5,1.1246,53.3629,-0.0447,29.2172,-0.0202,0.336,0,0,0.8019,0.6887,0.3661,0.0753,13112038.4955,1.0874,0.8649
95.8333,1.0724,56.4599,0.0709,30.1239,-0.0303,0.2973,0,0,0.8174,0.6939,0.2235,0.1292,10582321.2503,1.1796,0.9052
99.1667,1.0936,58.1282,0.1326,28.9208,-0.0249,0.2505,0,0,0.8184,0.7029,0.1404,0.1096,4718148.7789,1.1571,0.9292
