Span,Alpha4,V4,Beta4,W4,Loss Coefficient,eta N2,1.5 TS,1.5SS,Cske
97.54098361,-1.590352433,22.49559333,65.01516886,52.88538233,0.41966145,,,,0.168702752
94.26229508,-0.324782667,24.41344333,63.02862238,53.79557051,0.490469388,,,,0.222735625
90.98360656,-1.281826418,23.69083,63.2710251,52.63179937,0.529210439,,,,0.226310076
87.70491803,-1.7622337,22.39127333,64.25207815,51.48175588,0.49294915,,,,0.203793236
84.42622951,-0.0469942,21.55373333,65.20356833,51.35410083,0.475476538,,,,0.16356938
81.14754098,3.490603,21.17466667,66.01671078,51.98014329,0.439574083,,,,0.116993374
77.86885246,8.671938667,20.99849,66.9637764,53.02964812,0.390962257,,,,0.06731539
74.59016393,13.70059,21.65241333,67.30548307,54.49968935,0.313054205,,,,0.036492091
71.31147541,18.06466333,22.69009333,67.37872922,56.06021992,0.242191193,,,,0.016916361
68.03278689,21.51831,23.51417,67.53217156,57.21818669,0.180917292,,,,0.00577953
64.75409836,23.17157,24.18958,67.36418882,57.75711843,0.143281299,,,,0.003169605
61.47540984,23.26791,24.80316667,66.77165196,57.75345639,0.13114935,,,,0.003517403
58.19672131,22.34285667,25.06533,66.0884293,57.17770233,0.13639774,,,,0.006907826
54.91803279,20.83963,25.42280667,65.17682402,56.5707813,0.155435165,,,,0.015455244
51.63934426,19.27782667,25.51318333,64.3874155,55.68038805,0.17443327,,,,0.028574994
48.36065574,18.30651667,25.83038667,63.63371707,55.16954447,0.177700627,,,,0.04135942
45.08196721,18.54501667,26.21477,63.21366674,55.08843712,0.17115082,,,,0.044715295
41.80327869,19.12665667,26.66636,62.87471664,55.1684937,0.160128798,,,,0.04589293
38.52459016,20.52918667,26.73984667,63.07949576,55.18143574,0.135250702,,,,0.036807988
35.24590164,22.71141,26.36955,63.91885322,55.15982795,0.127049811,,,,0.023393367
31.96721311,25.25611,25.68833667,65.09652469,54.9506621,0.125041148,,,,0.014343666
28.68852459,28.99614,24.80595,66.81002909,54.87987405,0.102138429,,,,0.009404635
25.40983607,32.66097667,24.06380667,68.3726693,54.76199414,0.090224951,,,,0.014596723
22.13114754,36.78280667,23.44151,70.01632134,54.75427866,0.065143079,,,,0.027701896
18.85245902,40.28948,23.05082,71.32329994,54.74441034,0.058324483,,,,0.042415307
15.57377049,43.1732,22.83152333,72.30674536,54.6643892,0.042439989,,,,0.055800488
12.29508197,44.68559333,22.87674667,72.68576053,54.55459378,0.036836993,,,,0.063727541
9.016393443,44.82886333,22.91932,72.56336143,54.17450879,0.012338326,,,,0.063037178
5.737704918,44.13678,22.88732,72.14630441,53.53926678,0.012586885,,,,0.056083499
2.786885246,43.76156,22.18697,72.23425938,52.47831588,-0.034262619,,,,0.040766343
