19	1
200.8007286	-21.9787940	-37.1820000
200.8007286	-21.9787940	-21.4001550
201.0132247	-19.9420036	-18.0314500
201.3677978	-15.9690322	-14.2144420
201.6574471	-11.7589977	-10.4779310
201.8682489	-7.2945252	-7.0420200
201.9824576	-2.6621110	-3.8518970
201.9821892	2.6823950	-0.8481020
201.8816633	6.9133214	2.0054730
201.6535365	11.8258712	4.7185490
201.2963213	16.8460986	7.2383830
200.8038249	21.9504872	9.5809910
200.1754163	27.0887927	11.8210850
199.4098495	32.2445644	13.9821130
198.5049261	37.4138251	16.0586610
197.2870680	43.3765370	18.4
195.8279600	49.5520910	20.9
195.0811895	52.4149740	21.8806390
195.0811895	52.4149740	37.8180000
