22	1
141.9927440	1.4354980	-37.1820000
141.9859900	2.7137477	-32.3991390
141.9809600	3.6688573	-27.0050700
141.9821800	3.4378531	-22.6567800
141.9927440	1.4354980	-18.7533100
141.9975665	-0.8313293	-16.7273350
141.9514908	-3.7113694	-13.7296750
141.8757776	-5.9383280	-10.1475510
141.8298875	-6.9485987	-5.9360850
141.8297413	-6.9515806	-1.5765530
141.9356997	-4.2728377	2.3545110
141.9939877	-1.3066928	5.6452210
141.9831178	2.1895817	8.3758020
141.8745866	5.9667139	10.7041840
141.6546711	9.8971786	12.7542410
141.3171975	13.9086195	14.6189680
140.8580805	17.9722332	16.3338050
140.2776611	22.0494397	17.9779850
139.5757472	26.1268216	19.5749730
138.7527602	30.1938989	21.1415730
137.8764605	33.9717771	22.6569360
137.8764605	33.9717771	37.8180000
