629	1
139.948685	-24.049234	5.092640
139.960698	-23.979221	5.092640
139.972676	-23.909202	5.092640
139.984619	-23.839177	5.092640
139.996527	-23.769146	5.092640
140.008400	-23.699110	5.092640
140.020239	-23.629067	5.092640
140.032042	-23.559018	5.092640
140.043810	-23.488964	5.092640
140.055542	-23.418903	5.092640
140.067240	-23.348837	5.092640
140.078903	-23.278765	5.092640
140.090531	-23.208687	5.092640
140.102124	-23.138604	5.092640
140.113681	-23.068514	5.092640
140.125204	-22.998419	5.092640
140.136691	-22.928318	5.092640
140.148144	-22.858211	5.092640
140.159561	-22.788099	5.092640
140.170943	-22.717980	5.092640
140.182291	-22.647857	5.092640
140.193603	-22.577727	5.092640
140.204880	-22.507592	5.092640
140.216122	-22.437451	5.092640
140.227329	-22.367305	5.092640
140.238500	-22.297153	5.092640
140.249637	-22.226995	5.092640
140.260739	-22.156832	5.092640
140.271805	-22.086663	5.092640
140.282837	-22.016489	5.092640
140.293833	-21.946309	5.092640
140.304794	-21.876124	5.092640
140.315720	-21.805933	5.092640
140.326611	-21.735737	5.092640
140.337467	-21.665535	5.092640
140.348287	-21.595328	5.092640
140.359073	-21.525116	5.092640
140.369823	-21.454898	5.092640
140.380539	-21.384675	5.092640
140.391219	-21.314446	5.092640
140.401864	-21.244212	5.092640
140.412474	-21.173973	5.092640
140.423049	-21.103729	5.092640
140.433588	-21.033479	5.092640
140.444093	-20.963224	5.092640
140.454562	-20.892964	5.092640
140.464996	-20.822698	5.092640
140.475396	-20.752427	5.092640
140.485759	-20.682152	5.092640
140.496088	-20.611870	5.092640
140.506382	-20.541584	5.092640
140.516640	-20.471293	5.092640
140.526863	-20.400996	5.092640
140.537052	-20.330695	5.092640
140.547204	-20.260388	5.092640
140.557322	-20.190076	5.092640
140.567405	-20.119759	5.092640
140.577452	-20.049438	5.092640
140.587464	-19.979111	5.092640
140.597441	-19.908779	5.092640
140.607383	-19.838442	5.092640
140.617290	-19.768100	5.092640
140.627161	-19.697753	5.092640
140.636998	-19.627402	5.092640
140.646799	-19.557045	5.092640
140.656565	-19.486683	5.092640
140.666295	-19.416317	5.092640
140.675991	-19.345946	5.092640
140.685651	-19.275570	5.092640
140.695276	-19.205189	5.092640
140.704866	-19.134803	5.092640
140.714421	-19.064413	5.092640
140.723940	-18.994017	5.092640
140.733424	-18.923617	5.092640
140.742873	-18.853212	5.092640
140.752287	-18.782803	5.092640
140.761666	-18.712389	5.092640
140.771009	-18.641970	5.092640
140.780317	-18.571546	5.092640
140.789590	-18.501118	5.092640
140.798828	-18.430685	5.092640
140.808030	-18.360248	5.092640
140.817197	-18.289806	5.092640
140.826329	-18.219359	5.092640
140.835426	-18.148908	5.092640
140.844487	-18.078453	5.092640
140.853513	-18.007992	5.092640
140.862504	-17.937528	5.092640
140.871460	-17.867058	5.092640
140.880380	-17.796585	5.092640
140.889266	-17.726107	5.092640
140.898115	-17.655624	5.092640
140.906930	-17.585137	5.092640
140.915710	-17.514646	5.092640
140.924454	-17.444150	5.092640
140.933163	-17.373650	5.092640
140.941836	-17.303145	5.092640
140.950474	-17.232636	5.092640
140.959077	-17.162123	5.092640
140.967645	-17.091606	5.092640
140.976178	-17.021084	5.092640
140.984675	-16.950558	5.092640
140.993137	-16.880028	5.092640
141.001564	-16.809493	5.092640
141.009955	-16.738955	5.092640
141.018311	-16.668412	5.092640
141.026632	-16.597865	5.092640
141.034917	-16.527314	5.092640
141.043168	-16.456758	5.092640
141.051382	-16.386199	5.092640
141.059562	-16.315636	5.092640
141.067706	-16.245068	5.092640
141.075815	-16.174496	5.092640
141.083889	-16.103921	5.092640
141.091927	-16.033341	5.092640
141.099930	-15.962757	5.092640
141.107898	-15.892169	5.092640
141.115831	-15.821578	5.092640
141.123728	-15.750982	5.092640
141.131590	-15.680382	5.092640
