629	1
140.032372	-23.557055	5.592640
140.044139	-23.487000	5.592640
140.055871	-23.416940	5.592640
140.067568	-23.346873	5.592640
140.079229	-23.276801	5.592640
140.090856	-23.206723	5.592640
140.102448	-23.136639	5.592640
140.114005	-23.066550	5.592640
140.125526	-22.996454	5.592640
140.137013	-22.926353	5.592640
140.148464	-22.856246	5.592640
140.159881	-22.786133	5.592640
140.171262	-22.716015	5.592640
140.182608	-22.645891	5.592640
140.193919	-22.575761	5.592640
140.205195	-22.505626	5.592640
140.216436	-22.435485	5.592640
140.227642	-22.365339	5.592640
140.238813	-22.295186	5.592640
140.249949	-22.225029	5.592640
140.261049	-22.154865	5.592640
140.272115	-22.084696	5.592640
140.283145	-22.014522	5.592640
140.294140	-21.944342	5.592640
140.305101	-21.874157	5.592640
140.316026	-21.803966	5.592640
140.326916	-21.733770	5.592640
140.337771	-21.663568	5.592640
140.348590	-21.593361	5.592640
140.359375	-21.523148	5.592640
140.370124	-21.452930	5.592640
140.380839	-21.382707	5.592640
140.391518	-21.312478	5.592640
140.402162	-21.242244	5.592640
140.412771	-21.172005	5.592640
140.423345	-21.101760	5.592640
140.433883	-21.031510	5.592640
140.444387	-20.961255	5.592640
140.454855	-20.890994	5.592640
140.465288	-20.820729	5.592640
140.475686	-20.750458	5.592640
140.486049	-20.680182	5.592640
140.496377	-20.609901	5.592640
140.506670	-20.539614	5.592640
140.516927	-20.469323	5.592640
140.527149	-20.399026	5.592640
140.537337	-20.328724	5.592640
140.547489	-20.258417	5.592640
140.557605	-20.188105	5.592640
140.567687	-20.117789	5.592640
140.577733	-20.047466	5.592640
140.587744	-19.977139	5.592640
140.597721	-19.906807	5.592640
140.607661	-19.836470	5.592640
140.617567	-19.766128	5.592640
140.627438	-19.695782	5.592640
140.637273	-19.625430	5.592640
140.647073	-19.555073	5.592640
140.656838	-19.484711	5.592640
140.666568	-19.414345	5.592640
140.676262	-19.343973	5.592640
140.685921	-19.273597	5.592640
140.695545	-19.203216	5.592640
140.705134	-19.132830	5.592640
140.714688	-19.062440	5.592640
140.724206	-18.992044	5.592640
140.733690	-18.921644	5.592640
140.743138	-18.851239	5.592640
140.752550	-18.780830	5.592640
140.761928	-18.710415	5.592640
140.771270	-18.639996	5.592640
140.780577	-18.569573	5.592640
140.789849	-18.499144	5.592640
140.799086	-18.428711	5.592640
140.808287	-18.358274	5.592640
140.817454	-18.287832	5.592640
140.826584	-18.217385	5.592640
140.835680	-18.146934	5.592640
140.844741	-18.076478	5.592640
140.853766	-18.006017	5.592640
140.862756	-17.935553	5.592640
140.871710	-17.865083	5.592640
140.880630	-17.794609	5.592640
140.889514	-17.724131	5.592640
140.898363	-17.653648	5.592640
140.907177	-17.583161	5.592640
140.915955	-17.512670	5.592640
140.924698	-17.442174	5.592640
140.933406	-17.371674	5.592640
140.942079	-17.301169	5.592640
140.950716	-17.230660	5.592640
140.959318	-17.160147	5.592640
140.967885	-17.089629	5.592640
140.976416	-17.019107	5.592640
140.984913	-16.948581	5.592640
140.993374	-16.878051	5.592640
141.001799	-16.807516	5.592640
141.010190	-16.736978	5.592640
141.018545	-16.666435	5.592640
141.026865	-16.595888	5.592640
141.035149	-16.525336	5.592640
141.043398	-16.454781	5.592640
141.051612	-16.384221	5.592640
141.059791	-16.313658	5.592640
141.067934	-16.243090	5.592640
141.076042	-16.172518	5.592640
141.084115	-16.101943	5.592640
141.092152	-16.031363	5.592640
141.100154	-15.960779	5.592640
141.108121	-15.890191	5.592640
141.116053	-15.819599	5.592640
141.123949	-15.749003	5.592640
141.131810	-15.678404	5.592640
141.139635	-15.607800	5.592640
141.147425	-15.537192	5.592640
141.155180	-15.466581	5.592640
141.162900	-15.395966	5.592640
141.170584	-15.325346	5.592640
141.178233	-15.254723	5.592640
141.185846	-15.184097	5.592640
141.193425	-15.113466	5.592640
141.200967	-15.042832	5.592640
141.208475	-14.972193	5.592640
141.215947	-14.901551	5.592640
141.223384	-14.830906	5.592640
141.230786	-14.760256	5.592640
141.238152	-14.689603	5.592640
141.245483	-14.618947	5.592640
141.252778	-14.548286	5.592640
141.260038	-14.477622	5.592640
141.267263	-14.406955	5.592640
141.274453	-14.336283	5.592640
141.281607	-14.265608	5.592640
141.288726	-14.194930	5.592640
141.295809	-14.124248	5.592640
141.302857	-14.053563	5.592640
141.309870	-13.982874	5.592640
141.316847	-13.912181	5.592640
141.323789	-13.841485	5.592640
141.330695	-13.770786	5.592640
141.337567	-13.700083	5.592640
141.344402	-13.629376	5.592640
141.351203	-13.558667	5.592640
141.357968	-13.487953	5.592640
141.364698	-13.417237	5.592640
141.371392	-13.346517	5.592640
141.378051	-13.275794	5.592640
141.384675	-13.205067	5.592640
141.391263	-13.134337	5.592640
141.397816	-13.063604	5.592640
141.404333	-12.992868	5.592640
141.410815	-12.922128	5.592640
141.417262	-12.851385	5.592640
141.423673	-12.780639	5.592640
141.430049	-12.709890	5.592640
141.436389	-12.639138	5.592640
141.442694	-12.568382	5.592640
141.448964	-12.497623	5.592640
141.455198	-12.426861	5.592640
141.461397	-12.356096	5.592640
141.467561	-12.285328	5.592640
141.473689	-12.214557	5.592640
141.479781	-12.143783	5.592640
141.485839	-12.073005	5.592640
141.491861	-12.002225	5.592640
141.497847	-11.931442	5.592640
141.503798	-11.860655	5.592640
141.509714	-11.789866	5.592640
141.515594	-11.719074	5.592640
141.521439	-11.648279	5.592640
141.527248	-11.577481	5.592640
141.533022	-11.506680	5.592640
141.538761	-11.435876	5.592640
141.544464	-11.365069	5.592640
141.550131	-11.294260	5.592640
141.555764	-11.223447	5.592640
141.561361	-11.152632	5.592640
141.566922	-11.081814	5.592640
141.572448	-11.010993	5.592640
141.577939	-10.940170	5.592640
141.583394	-10.869344	5.592640
141.588813	-10.798515	5.592640
141.594198	-10.727683	5.592640
141.599547	-10.656849	5.592640
141.604860	-10.586012	5.592640
141.610138	-10.515172	5.592640
141.615380	-10.444330	5.592640
141.620588	-10.373485	5.592640
141.625759	-10.302637	5.592640
141.630895	-10.231787	5.592640
141.635996	-10.160935	5.592640
141.641061	-10.090079	5.592640
141.646091	-10.019222	5.592640
141.651086	-9.948361	5.592640
141.656045	-9.877499	5.592640
141.660968	-9.806634	5.592640
141.665856	-9.735766	5.592640
141.670709	-9.664896	5.592640
141.675526	-9.594023	5.592640
141.680308	-9.523148	5.592640
141.685054	-9.452271	5.592640
141.689765	-9.381392	5.592640
141.694440	-9.310510	5.592640
141.699080	-9.239625	5.592640
141.703685	-9.168739	5.592640
141.708254	-9.097850	5.592640
141.712787	-9.026958	5.592640
141.717285	-8.956065	5.592640
141.721748	-8.885169	5.592640
141.726175	-8.814271	5.592640
141.730566	-8.743371	5.592640
141.734923	-8.672469	5.592640
141.739243	-8.601564	5.592640
141.743529	-8.530658	5.592640
141.747778	-8.459749	5.592640
141.751993	-8.388838	5.592640
141.756171	-8.317925	5.592640
141.760315	-8.247010	5.592640
141.764423	-8.176093	5.592640
141.768495	-8.105174	5.592640
141.772532	-8.034253	5.592640
141.776533	-7.963329	5.592640
141.780499	-7.892404	5.592640
141.784430	-7.821477	5.592640
141.788325	-7.750548	5.592640
141.792184	-7.679617	5.592640
141.796008	-7.608684	5.592640
141.799797	-7.537749	5.592640
141.803550	-7.466812	5.592640
141.807267	-7.395873	5.592640
141.810949	-7.324933	5.592640
141.814596	-7.253990	5.592640
141.818207	-7.183046	5.592640
141.821783	-7.112100	5.592640
141.825323	-7.041153	5.592640
141.828827	-6.970203	5.592640
141.832296	-6.899252	5.592640
141.835730	-6.828299	5.592640
141.839128	-6.757344	5.592640
141.842491	-6.686388	5.592640
141.845818	-6.615430	5.592640
141.849110	-6.544470	5.592640
141.852366	-6.473509	5.592640
141.855586	-6.402546	5.592640
141.858772	-6.331581	5.592640
141.861921	-6.260615	5.592640
141.865035	-6.189647	5.592640
141.868114	-6.118678	5.592640
141.871157	-6.047707	5.592640
141.874165	-5.976735	5.592640
141.877137	-5.905761	5.592640
141.880074	-5.834786	5.592640
141.882975	-5.763809	5.592640
141.885840	-5.692831	5.592640
141.888670	-5.621851	5.592640
141.891465	-5.550870	5.592640
141.894224	-5.479888	5.592640
141.896948	-5.408904	5.592640
141.899636	-5.337919	5.592640
141.902288	-5.266932	5.592640
141.904905	-5.195945	5.592640
141.907487	-5.124956	5.592640
141.910033	-5.053965	5.592640
141.912543	-4.982974	5.592640
141.915018	-4.911981	5.592640
141.917458	-4.840987	5.592640
141.919862	-4.769991	5.592640
141.922230	-4.698995	5.592640
141.924563	-4.627997	5.592640
141.926861	-4.556998	5.592640
141.929123	-4.485998	5.592640
141.931349	-4.414997	5.592640
141.933540	-4.343995	5.592640
141.935695	-4.272992	5.592640
141.937815	-4.201987	5.592640
141.939899	-4.130982	5.592640
141.941948	-4.059975	5.592640
141.943961	-3.988968	5.592640
141.945939	-3.917959	5.592640
141.947881	-3.846950	5.592640
141.949788	-3.775939	5.592640
141.951659	-3.704928	5.592640
141.953495	-3.633916	5.592640
141.955295	-3.562903	5.592640
141.957059	-3.491888	5.592640
141.958788	-3.420874	5.592640
141.960482	-3.349858	5.592640
141.962140	-3.278841	5.592640
141.963763	-3.207824	5.592640
141.965349	-3.136805	5.592640
141.966901	-3.065786	5.592640
141.968417	-2.994766	5.592640
141.969897	-2.923746	5.592640
141.971342	-2.852724	5.592640
141.972751	-2.781702	5.592640
